500,NULL,Main,Main,/main,P,CUSTOMER,1,1,Y,NULL,2017-12-13 16:42:16,INIT,INIT,2017-12-13 16:42:16,INIT,INIT
501,NULL,상품소개,상품소개,NULL,M,CUSTOMER,2,1,Y,NULL,2017-12-13 16:42:16,INIT,INIT,2017-12-13 16:42:16,INIT,INIT
504,NULL,이벤트,이벤트,NULL,M,CUSTOMER,6,1,Y,NULL,2017-12-13 16:42:17,INIT,INIT,2017-12-13 16:42:17,INIT,INIT
505,NULL,고객센터,고객센터,NULL,M,CUSTOMER,7,1,Y,NULL,2017-12-13 16:42:17,INIT,INIT,2017-12-13 16:42:17,INIT,INIT
506,NULL,마이페이지,마이페이지,NULL,M,CUSTOMER,8,1,Y,NULL,2017-12-13 16:42:17,INIT,INIT,2017-12-13 16:42:17,INIT,INIT
508,501,상담비즈챗,상품소개 > CS비즈챗,/main#bizChatGuideCs,M,CUSTOMER,2,2,Y,NULL,2017-12-13 16:42:18,INIT,INIT,2017-12-13 16:42:18,INIT,INIT
509,501,메시지 인사이트,상품소개 > 마케팅비즈챗,/main#bizChatGuideMk,M,CUSTOMER,3,2,Y,NULL,2017-12-13 16:42:18,INIT,INIT,2017-12-13 16:42:18,INIT,INIT
516,504,이벤트,이벤트 > 이벤트,NULL,M,CUSTOMER,1,2,Y,NULL,2017-12-13 16:42:19,INIT,INIT,2017-12-13 16:42:19,INIT,INIT
517,505,FAQ,고객센터 > FAQ,NULL,M,CUSTOMER,1,2,Y,NULL,2017-12-13 16:42:20,INIT,INIT,2017-12-13 16:42:20,INIT,INIT
518,505,공지사항,고객센터 > 공지사항,NULL,M,CUSTOMER,2,2,Y,NULL,2017-12-13 16:42:20,INIT,INIT,2017-12-13 16:42:20,INIT,INIT
519,505,1:1 문의,고객센터 > 1:1 문의,NULL,M,CUSTOMER,3,2,Y,NULL,2017-12-13 16:42:20,INIT,INIT,2017-12-13 16:42:20,INIT,INIT
520,505,다운로드,고객센터 > 다운로드,NULL,M,CUSTOMER,4,2,Y,NULL,2017-12-13 16:42:20,INIT,INIT,2017-12-13 16:42:20,INIT,INIT
521,506,마이프로필,마이페이지 > 마이프로필,/myPage/profileDetail,M,CUSTOMER,1,2,Y,NULL,2017-12-13 16:42:20,INIT,INIT,2017-12-13 16:42:20,INIT,INIT
524,506,나의 1:1 문의,마이페이지 > 나의 1:1 문의,/myPage/qnaList,M,CUSTOMER,4,2,Y,NULL,2017-12-13 16:42:21,INIT,INIT,2017-12-13 16:42:21,INIT,INIT
555,516,이벤트조회,이벤트 > 이벤트조회,/event/list,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:28,INIT,INIT,2017-12-13 16:42:28,INIT,INIT
556,516,이벤트상세,이벤트 > 이벤트상세,/event/detail,P,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:29,INIT,INIT,2017-12-13 16:42:29,INIT,INIT
557,517,FAQ 목록,고객센터 > FAQ,/faq/list,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:29,INIT,INIT,2017-12-13 16:42:29,INIT,INIT
558,518,공지사항,고객센터 > 공지사항,/noti/list,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:29,INIT,INIT,2017-12-13 16:42:29,INIT,INIT
559,518,공지사항 조회수 업데이트,고객센터 > 공지사항 > 공지사항 조회수 업데이트,/noti/addNotiCnt,F,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:29,INIT,INIT,2017-12-13 16:42:29,INIT,INIT
560,519,1:1문의,고객센터 > 1:1문의,/qna/regist,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:29,INIT,INIT,2017-12-13 16:42:29,INIT,INIT
561,519,1:1문의 저장,고객센터 > 1:1문의 > 1:1문의의 저장,/qna/registSave,F,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:30,INIT,INIT,2017-12-13 16:42:30,INIT,INIT
562,520,다운로드,고객센터 > 다운로드,/download/list,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:30,INIT,INIT,2017-12-13 16:42:30,INIT,INIT
563,520,파일 다운로드,고객센터 > 다운로드 > 파일 다운로드,/download/downloadFile,F,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:30,INIT,INIT,2017-12-13 16:42:30,INIT,INIT
564,557,FAQ 조회수 업데이트,고객센터 > FAQ,/faq/addFaqCnt,F,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:30,INIT,INIT,2017-12-13 16:42:30,INIT,INIT
565,524,나의 1:1 문의 삭제,마이페이지 > 나의 1:1 문의 > 나의 1:1 문의 삭제,/myPage/qnaDelete,F,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:31,INIT,INIT,2017-12-13 16:42:31,INIT,INIT
576,524,나의 1:1 문의 상세,마이페이지 > 나의 1:1 문의 > 나의 1:1 문의 상세,/myPage/qnaDetail,F,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:33,INIT,INIT,2017-12-13 16:42:33,INIT,INIT
577,506,마이페이지 비밀번호 입력,마이페이지 > 비밀번호 입력,/myPage/gate,P,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:33,INIT,INIT,2017-12-13 16:42:33,INIT,INIT
578,506,마이페이지 비밀번호 확인,마이페이지 > 비밀번호 확인,/myPage/gate/pwcheck,F,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:33,INIT,INIT,2017-12-13 16:42:33,INIT,INIT
579,521,마이 프로필 수정,마이페이지 > 마이 프로필 > 마이 프로필 수정,/myPage/saveRegistProfile,F,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:33,INIT,INIT,2017-12-13 16:42:33,INIT,INIT
580,579,이메일 중복 확인,마이페이지 > 마이 프로필 > 마이 프로필 수정 > 이메일 중복 확인,/myPage/checkEmailDuple,F,CUSTOMER,1,4,Y,NULL,2017-12-13 16:42:34,INIT,INIT,2017-12-13 16:42:34,INIT,INIT
581,521,회원탈퇴,마이페이지 > 마이 프로필 > 회원탈퇴,/myPage/resContactLeave,P,CUSTOMER,2,3,Y,NULL,2017-12-13 16:42:34,INIT,INIT,2017-12-13 16:42:34,INIT,INIT
582,581,회원탈퇴 저장,마이페이지 > 마이 프로필 > 회원탈퇴 저장,/myPage/saveContactLeave,F,CUSTOMER,1,3,Y,NULL,2017-12-13 16:42:34,INIT,INIT,2017-12-13 16:42:34,INIT,INIT
