38,35,특번 조회,서비스 관리 > 특번 관리 > 특번 조회,/spcNumMgmt/spcNumList,M,ADMIN,2,3,Y,NULL,2017-10-18 22:05:49,INIT,INIT,2017-10-18 22:05:49,INIT,INIT
45,14,전송완료 메시지 상세정보,메시지 관리 & 통계 > 알림비즈챗 > 전송완료 메시지 조회 > 전송완료 메시지 상세정보,/notiMate/completeDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
46,14,전송완료목록 엑셀 다운로드,메시지 관리 & 통계 > 알림비즈챗 > 전송완료 메시지 조회 > 전송완료목록 엑셀 다운로드,/notiMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
47,15,MT 요청 메시지 상세정보,메시지 관리 & 통계 > 알림비즈챗 > MT 요청 메시지 조회 > MT 요청 메시지 상세정보,/notiMate/mtDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
48,16,MO 메시지 상세정보,메시지 관리 & 통계 > 알림비즈챗 > MO 메시지 조회 > MO 메시지 상세정보,/notiMate/moDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
49,12,메시지 발송 저장,메시지 관리 & 통계 > 메시지 발송 > 메시지 발송 저장,/notiMate/sendMsg,F,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
50,22,고객사 상세정보,고객사 관리 > 고객사 관리 > 고객사 상세정보,/customer/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
54,23,고객정보 첨부파일 다운로드,고객사 관리 > 고객사 관리 > 고객사 등록 > 고객정보 첨부파일 다운로드,/customer/registFileDown,F,ADMIN,4,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
56,29,공지사항 상세정보,운영 관리 > 공지사항 관리 > 공지사항 조회 > 공지사항 상세정보,/noti/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
59,30,공지사항정보 첨부파일 다운로드,운영 관리 > 공지사항 관리 > 공지사항 등록 > 공지사항정보 첨부파일 다운로드,/noti/attachDownload,F,ADMIN,3,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
60,31,FAQ 상세정보,운영 관리 > FAQ 관리 > FAQ 조회 > FAQ 상세정보,/faq/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
64,27,통신사 휴대 전화 상세,운영 관리 > 통신사 관리 > 휴대전화 조회 > 통신사 휴대 전화 상세,/device/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
65,27,통신사 휴대 전화 저장,운영 관리 > 통신사 관리 > 휴대전화 조회 > 통신사 휴대 전화 저장,/device/save,F,ADMIN,4,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
66,27,통신사 휴대 전화 삭제,운영 관리 > 통신사 관리 > 휴대전화 조회 > 통신사 휴대 전화 삭제,/device/delete,F,ADMIN,2,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
67,27,휴대전화번호 체크,운영 관리 > 통신사 관리 > 휴대전화 조회 > 휴대전화번호 체크,/device/checkMdn,F,ADMIN,4,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
68,36,CID 상세정보,서비스 관리 > CID 관리 > CID 조회 > CID 상세정보,/msgserver/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
75,22,고객목록 엑셀 다운로드,고객사 관리 > 고객사 관리 > 고객사 조회 > 고객목록 엑셀 다운로드,/customer/customerListExcelDown,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
77,2,My Profile 비밀번호 체크,My Profile >My Profile 비밀번호 체크,/myprofile/checkPasswd,F,ADMIN,2,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
78,2,My Profile 비밀번호 변경,My Profile >My Profile 비밀번호 변경,/myprofile/changePasswd,F,ADMIN,3,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
79,2,My Profile 정보 저장,My Profile >My Profile 정보 저장,/myprofile/save,F,ADMIN,4,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
80,15,메시지 첨부파일 다운로드,메시지 관리&통계 > 알림비즈챗 > MT 요청 메시지 조회 > 메시지 첨부파일 다운로드,/notiMate/attachDownload,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
81,36,CID 엑셀다운로드,서비스 관리 > CID 관리 > CID 조회 > CID 엑셀다운로드,/msgserver/downloadExcel,F,ADMIN,2,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
82,17,전송완료 메시지 상세정보,메시지 관리 & 통계 > CS비즈챗 > 전송완료 메시지 조회 > 전송완료 메시지 상세정보,/csMate/completeDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
83,17,전송완료목록 엑셀 다운로드,메시지 관리 & 통계 > CS비즈챗 > 전송완료 메시지 조회 > 전송완료목록 엑셀 다운로드,/csMate/downloadExcel,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
84,18,MT 요청 메시지 상세정보,메시지 관리 & 통계 > CS비즈챗 > MT 요청 메시지 조회 > MT 요청 메시지 상세정보,/csMate/mtDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
